inquiry,discipline,traditional,progressive,readingscore,mathscore,pocschool,pocsd,povertyschool,povertysd,students,age,expulsions,titlei,ethnicisolated,collegesd,popdensity,unemployment,foreignborn,closerate,publicdensity,charterdensity
0.002259887005649717,0.0011296243998870374,0.0,0.0,55-59,60-64,0.9389312977099236,-37.2,0.8396946564885496,16.07,131.0,17.0,,1.0,0,39.71,7366.9119999999975,9.3,27.25,0.007692307692307694,245,125.0
0.004330054039074407,0.005874895214870138,0.0013236038058806814,0.00020782963512043729,25-29,15,0.6975088967971529,-90.3,0.8327402135231317,7.76,281.0,11.0,7.0,1.0,0,17.81,344.8843,7.06,2.19,0.0,138,46.0
0.005274847307051637,0.00041580041580041566,0.0,0.0002772002772002771,83,90-94,0.9515669515669516,-58.7,0.7037037037037037,19.13,351.0,7.0,0.0,1.0,0,33.96,4782.319,7.14,27.77,0.003424657534246575,5,0.0
0.006428101432403706,0.0005559205538990244,0.00020214271275520527,0.00025272947836635666,26,27,0.75,-84.58,0.9908854166666666,9.4,768.0,3.0,0.0,1.0,0,27.87,475.6983,7.51,12.2,0.037037037037037035,75,36.0
0.005182937627654926,0.0009321753905696887,0.0003658076087982629,0.0003658766877537532,65-69,65-69,0.9919354838709676,-58.7,0.9865591397849462,19.13,372.0,5.0,0.0,1.0,1,33.96,4782.319,7.14,27.77,0.0,6,0.0
0.0054962477539372175,0.0028544243577545182,0.000528429507503699,0.0005285971032878741,30-39,11-19,0.9761904761904762,-60.16,0.4047619047619048,12.71,42.0,0.0,0.0,,0,28.090000000000003,1181.972,8.61,9.72,0.023148148148148147,158,52.0
0.0077637598779980626,0.00027718106853301925,0.0005890097706326659,0.0002772290951935407,50,33,0.19036144578313247,-79.6,0.20240963855421687,7.88,415.0,9.0,0.0,0.0,0,54.09,3629.6940000000004,7.19,10.72,0.0,2,0.0
0.011725831248996078,0.000800548947849954,0.000365915016237479,0.00034310810192598,6,5,0.986444212721585,-29.26,0.9520333680917622,18.27,959.0,4.0,0.0,1.0,0,29.72,7671.9980000000005,11.41,7.81,0.027624309392265192,1,1.0
0.0065789473684210505,0.0,0.0,0.0,GE50,PS,0.125,-69.71,0.325,14.28,80.0,3.0,2.0,1.0,0,21.21,742.9307,8.36,3.56,0.0,11,0.0
0.0064599483204134354,0.0012919896640826874,0.0012919896640826874,0.0012936610608020695,41,15,0.9753566796368353,-40.26,0.9961089494163424,20.4,771.0,5.0,0.0,1.0,0,26.35,11632.52,12.52,13.07,0.0,3,0.0
0.013065326633165831,0.0,0.002008032128514056,0.0,39,32,0.967741935483871,-25.55,1.0,30.25,310.0,13.0,2.0,1.0,0,12.760000000000002,100.7268,19.95,0.6,0.0,136,16.0
